Artist,Artist mbid,Album,Album mbid,Track,Track mbid,Date,Duration
Arctic Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,"Whatever People Say I Am, That's What I'm Not",,Mardy Bum,9ba110b3-3dbe-417c-ba7b-692267455026,2016-05-31 15:36:11,177440.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,Overexposed Track By Track,,One More Night,7c1fce2d-5f5b-4a5b-8287-d3452ae3677f,2016-05-31 09:27:52,224000.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,Hands All Over (Revised International Standard version),,Moves Like Jagger - Studio Recording From The Voice Performance,,2016-05-31 09:24:30,201160.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,V (Deluxe),,Animals,7c0ed007-5118-4086-917a-fd9cfb0d338e,2016-05-31 09:20:38,231012.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,Overexposed Track By Track,,Payphone,f445403a-0739-4001-b450-4a6e01c6c3d5,2016-05-31 09:09:21,280000.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,Songs About Jane,4cd5078a-8b68-40cb-9662-379d596539f5,She Will Be Loved,0eb8495d-fc5e-4c32-8a6e-aea9ce9741cf,2016-05-31 09:05:05,257133.0
Bengü,d5249547-eb25-46a6-aa93-f96a02bbb6aa,İki Melek,65053f8b-5115-4d66-92a1-cc1f9269783d,Kocaman Öpüyorum,408e4e38-e76f-4df8-b16a-4dc2370152c9,2016-05-30 14:04:53,251213.0
Soft Machine,5193ce6b-a315-4c50-ae49-54e69ffbc988,Bundles,b205f0e4-6bf8-4351-a360-6587c919c931,Hazard Profile Part 1,668f92af-6d39-45e8-bad7-da997704e0ca,2016-05-30 11:44:18,559520.0
Onda Vaga,fa7c5fe9-26ed-483c-881c-12d5e9392caa,Fuerte y Caliente,e0486476-7e0e-4f6e-8eaf-eb349e8873f0,Havana affair,2ec8bc5c-7cbe-4d0b-ac76-5406603acb71,2016-05-30 11:40:57,200453.0
Dungen,25c76eb2-a92d-4624-9e30-093fc16ed5eb,4,a8303239-2163-3c7d-b906-6671a46e8668,Fredag,5974502a-dccf-447d-b2d0-13b421b1ce8a,2016-05-30 11:36:36,259866.0
UFO,f6b037df-35e8-4ef5-b59c-5634de1b44d4,Phenomenon,8c9906ac-72f9-30a3-bdbe-16b2b597ddbf,Space Child - 2007 Remastered Version,,2016-05-30 11:32:34,241000.0
Doves,9de8f66e-3cd1-4f11-8328-38200f0612b0,The Places Between : The Best Of Doves,aa5df2ae-16c3-4eee-9d85-e21d5fa86e6a,Darker,b67246e2-1485-484c-a2f4-0a4d645367c6,2016-05-30 11:16:05,350613.0
Joan as Police Woman,62773859-b9b9-4108-b814-cfd91459d716,Real Life,aef6f696-6e0b-45e9-92e4-aca792d9dd00,Christobel,72917cbf-274a-43bd-8b70-3dd82f703e00,2016-05-30 11:12:59,186253.0
David Bowie,5441c29d-3602-4898-b1a1-b77fa23b8e50,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),,Rock 'N' Roll Suicide - 2012 Remastered Version,,2016-05-30 11:10:00,178265.0
Les Discrets,3ffe2c2b-6ec6-4290-af05-7e35b75264a7,Septembre et ses dernières Pensées,7d2c2d08-9367-4f4a-8e5c-62cc0d9ca86c,L'échappée,b19b9fd8-d5e1-48fd-abf6-776d05517352,2016-05-30 08:45:59,243520.0
Teho Teardo,87cb0f39-7019-4970-aaaf-1d715db412c0,Still Smiling,,A Quiet Life,,2016-05-30 08:39:53,365493.0
Kadavar,aa262bd7-2217-4590-b2e3-38d148508916,Kadavar,a2f109f1-45c8-4692-868f-b4f78d6489d2,All Our Thoughts,868bff2d-95ad-4afd-b1cc-ac629f1627c4,2016-05-30 08:35:15,277000.0
Puscifer,6e4277d8-7b64-44a3-b823-13bd15114e22,Conditions of My Parole,e3d38348-6cec-47da-92ad-49969812116b,Green Valley,469da75a-4368-4888-ab30-cceaac26bdf6,2016-05-30 08:31:20,234826.0
Kurt Vile,e07a111e-4e8a-4651-a849-01ac60551ab2,b'lieve i'm goin down...,,Dust Bunnies,,2016-05-30 08:26:41,278266.0
Einstürzende Neubauten,6e9ac29b-798c-4af7-8d9e-55cdc72a999c,Perpetuum Mobile,3c746cc6-a76e-4351-8144-870673a688ae,Youme & Meyou,23a870bc-d85c-4df3-a13f-2f0d3134384d,2016-05-30 08:22:01,280173.0
The Libertines,e6e64ac4-9233-4bb6-92f3-1392f8b018f3,Anthems For Doomed Youth (Deluxe),,Barbarians,,2016-05-30 08:18:24,215920.0
Kevin Morby,eac962e1-0295-4e69-a266-4dab2adb4f11,Harlem River,d4c979c3-8752-4a71-8581-db6f66f1e2c4,Harlem River,e63e920f-4b74-4be3-a66c-3ef16cfa72d6,2016-05-30 08:09:08,555883.0
Antonio Sánchez,,Birdman (Original Motion Picture Soundtrack),,Doors and Distance,,2016-05-30 08:06:48,138858.0
Portico Quartet,0e6e5a3e-b5cb-45ff-97f4-c23c88efc563,Portico Quartet,46321490-4914-4cbc-a31d-3a388e98d03a,Ruins,40f5510d-408b-4488-8cf5-a34d1fe5e76f,2016-05-30 08:01:14,334040.0
Alabama Shakes,40419b33-18e9-4d5a-a674-30b4bb14bac2,Sound & Color,,Future People,,2016-05-30 07:57:52,201612.0
Ghostpoet,0c2393aa-7fe3-4314-81de-b91baf4982c6,Shedding Skin,,X Marks The Spot,,2016-05-30 07:54:01,230618.0
BADBADNOTGOOD,754294d5-d7d2-4ea2-8184-1dcaaf55a56f,III,4a681db6-3146-4166-b997-6db77bf796dc,Triangle,37e46baf-3a57-45a0-940d-2458be827211,2016-05-30 07:50:13,227538.0
Maybeshewill,62495254-237e-4e9e-8ffb-31fede562cfd,Not for Want of Trying,394db3fb-f3b1-4819-b500-1e7aba733d2e,Not for Want of Trying,157fb084-1072-45c1-8b2b-fd4bef489b44,2016-05-30 07:06:59,333973.0
John Cooper Clarke,7df6e6eb-8e3a-4402-a243-b5b01f0d9bec,The Very Best Of,2dc0a4fa-085a-4a68-b3de-dd19774a714b,I Wanna Be Yours,70a1a447-d6a0-44ce-8a8e-da9fa80185b3,2016-05-30 07:04:56,122746.0
Adriano Viterbini,,Film |O| Sound,,Bring It on Home,,2016-05-30 07:01:26,290000.0
Crippled Black Phoenix,055b6082-b9cc-4688-85c4-8153c0ef2d70,"I, Vigilante",412a99fd-ad5a-4f80-a57f-9104a4ebd842,Troublemaker,ad8a687f-00ac-4c1f-a672-f6be9a94f819,2016-05-30 06:52:52,513400.0
Giraffes? Giraffes!,88a5ed53-1c52-474a-8ed5-49961ee2366e,More Skin With Milk-Mouth,c25c29d2-740a-476a-a5da-0664f5cc15ea,"When The Catholic Girls Go Camping, The Nicotine Vampires Rule Supreme.",5b82ee53-6a49-40e6-870b-264dc0af9078,2016-05-30 06:47:52,232986.0
Iggy Pop,f37b3f31-b1f8-4b88-8cb5-b34f709b17d7,Post Pop Depression,,Break Into Your Heart,,2016-05-30 06:43:57,234560.0
Noordpool Orchestra,,"Radiohead, A Jazz Symphony",,Weird Fishes,,2016-05-30 06:26:24,493026.0
Editors,0efe858c-89e5-4e47-906a-356fa953fd6e,In Dream,,No Harm,,2016-05-30 06:21:17,306614.0
Death from Above 1979,92dc699f-fcbc-4278-afbe-40b5ad060a55,The Physical World,b3dcc134-4c86-47a4-9582-5db6fc21246c,White Is Red,c9d1a011-f800-45ff-bf41-c582e9316baf,2016-05-30 06:15:26,267840.0
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Unorthodox Jukebox,3cd7117c-b98c-4b3b-80fd-ffb978ed64d3,Locked Out of Heaven,9dbd4c26-c4ad-4abe-ba3e-88bfe6750518,2016-05-29 14:00:17,233478.0
Jennifer Lopez,f0602f55-1770-483d-89bd-4bae0d0ac086,Ain't Your Mama,,Ain't Your Mama,,2016-05-29 13:56:39,218234.0
Usher,3414d446-735a-443c-931f-10634f57e5b9,Confessions,e9c7cbfa-bc5a-3183-a01b-28ed5817164f,Yeah!,577dca3d-c63b-4ebd-a0cc-a2534b0cf10c,2016-05-29 13:52:27,250373.0
Destiny's Child,a796b92e-c137-4895-9c89-10f900617a4f,The Writing's on the Wall,b9de19dd-bf35-4ef6-bbcd-fd9240693658,Say My Name,,2016-05-29 13:47:56,271333.0
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,FutureSex/LoveSounds,695b4a0e-985d-49a8-a315-7c7831a60ff2,SexyBack,d5ae079d-2138-443b-8c58-f2ce050928c3,2016-05-29 13:43:52,242733.0
Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,Purpose (Deluxe),,I'll Show You,,2016-05-29 13:40:32,199946.0
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Unorthodox Jukebox,3cd7117c-b98c-4b3b-80fd-ffb978ed64d3,When I Was Your Man,126241da-d2cb-42c2-a40e-f30909057647,2016-05-29 13:36:58,213826.0
Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,...Baby One More Time (Digital Deluxe Version),,...Baby One More Time,9aa77fa3-1a7d-4ff9-a5ce-8c3dc072fa52,2016-05-29 13:33:26,211066.0
Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Thriller 25 Super Deluxe Edition,,Billie Jean - Single Version,,2016-05-29 13:28:32,293826.0
Jay Sean,e03cf5b6-d2ec-4465-adee-226b518bcfcd,Make My Love Go,,Make my love go,,2016-05-29 13:24:59,211780.0
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,FutureSex/LoveSounds,695b4a0e-985d-49a8-a315-7c7831a60ff2,LoveStoned / I Think She Knows Interlude,,2016-05-29 13:17:35,444373.0
P!nk,f4d5cc07-3bc9-4836-9b15-88a08359bc63,The Truth About Love,743972ad-fd14-4588-9acc-d4660410c9b9,Just Give Me a Reason,b9f8ca2e-5af6-4d02-89b1-8b1089d46317,2016-05-29 13:13:31,242733.0
Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8,BEYONCÉ [Platinum Edition],,7/11,0aa0fea6-76b3-4af9-a194-606058327c38,2016-05-29 13:09:57,213506.0
Jason Derülo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Talk Dirty,28bc6997-cbd6-4cfb-ac31-ed40acfa9c93,Talk Dirty (feat. 2 Chainz),,2016-05-29 13:06:59,177685.0
Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,Purpose (Deluxe),,What Do You Mean?,,2016-05-29 13:03:33,205680.0
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,The 20/20 Experience - 2 of 2,09beb268-b0b0-4f85-8662-11eab94aa61a,Drink You Away,f6884228-3a58-4b23-a8a3-46e6d1580790,2016-05-29 12:58:02,331133.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,V (Deluxe),,Sugar,ea4a91be-8a34-47de-8bcd-f5a75aec048c,2016-05-29 11:43:56,235492.0
Rihanna,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,Anti (Deluxe),,Work,,2016-05-29 11:40:16,219320.0
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Doo-Wops & Hooligans,a854d4ac-66d2-4d6c-a225-7f22beb71472,Grenade,d7a442fe-c87c-428f-adbf-1c0d3d88ae6a,2016-05-29 11:36:32,223253.0
Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,Royalty (Deluxe Version),,Little More (Royalty),,2016-05-29 11:32:11,260453.0
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,V,e8fe33d4-31a6-4394-941c-45fac8834322,Maps,00969864-63f8-4e5e-bcb2-9cc82dc5ca36,2016-05-29 11:29:01,189959.0
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,The 20/20 Experience - 2 of 2,09beb268-b0b0-4f85-8662-11eab94aa61a,You Got It On,6ceb16bf-8bd7-4601-8d8b-374cbc7c7c3b,2016-05-29 11:23:05,355600.0
Rihanna,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,Loud,c43043ff-a16d-4c74-a7cb-a278bf4d4c5c,Man Down,5be1dcbf-1b22-45df-a584-4ddf526eb274,2016-05-29 11:18:37,266986.0
Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,Purpose (Deluxe),,Company,,2016-05-29 11:05:28,208120.0
Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,X (Deluxe Version),,Loyal,,2016-05-29 11:01:02,264946.0
Jason Derülo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Talk Dirty,28bc6997-cbd6-4cfb-ac31-ed40acfa9c93,Trumpets,51f21966-5d55-4525-a179-1bdd24f7ab63,2016-05-29 10:57:24,217419.0
